drug_name,dosage_name,is_specialty
Cefepime-Dextrose,Cefepime-Dextrose SOLN 2-5GM-%(50ML),False
Cefixime,Cefixime CAP 400MG,False
Cefpodoxime Proxetil,Cefpodoxime Proxetil TAB 200MG,False
Cefpodoxime Proxetil,Cefpodoxime Proxetil TAB 100MG,False
Cefpodoxime Proxetil,Cefpodoxime Proxetil SUSP 100MG/5ML,False
Cefpodoxime Proxetil,Cefpodoxime Proxetil SUSP 50MG/5ML,False
Cefprozil,Cefprozil TAB 500MG,False
Cefprozil,Cefprozil TAB 250MG,False
Ceftin,Ceftin TAB 500MG,False
Ceftin,Ceftin SUSP 125MG/5ML,False
Ceftriaxone Sodium,Ceftriaxone Sodium SOLN 2GM,False
Ceftriaxone Sodium,Ceftriaxone Sodium SOLN 1GM,False
Ceftriaxone Sodium,Ceftriaxone Sodium SOLN 500MG,False
Ceftriaxone Sodium,Ceftriaxone Sodium SOLN 10GM,False
Cefuroxime Axetil,Cefuroxime Axetil TAB 250MG,False
Cefuroxime Axetil,Cefuroxime Axetil TAB 500MG,False
Celebrex,Celebrex CAP 200MG,False
Celebrex,Celebrex CAP 100MG,False
Celebrex,Celebrex CAP 50MG,False
Celebrex,Celebrex CAP 400MG,False
Celecoxib,Celecoxib CAP 100MG,False
Celecoxib,Celecoxib CAP 400MG,False
Celecoxib,Celecoxib CAP 200MG,False
Celecoxib,Celecoxib CAP 50MG,False
Celexa,Celexa TAB 40MG,False
Celexa,Celexa TAB 20MG,False
Celexa,Celexa TAB 10MG,False
Cellcept,Cellcept TAB 500MG,False
Cellcept Intravenous,Cellcept Intravenous SOLN 500MG,False
Celontin,Celontin CAP 300MG,False
Cephalexin,Cephalexin CAP 500MG,False
Cephalexin,Cephalexin TAB 500MG,False
Cephalexin,Cephalexin CAP 250MG,False
Cephalexin,Cephalexin TAB 250MG,False
Cequa,Cequa SOLN 0.09%,False
Cerezyme,Cerezyme SOLN 400UNIT,False
Cesamet,Cesamet CAP 1MG,False
Cetirizine HCL,Cetirizine HCL SOLN 5MG/5ML,False
Cetirizine HCL,Cetirizine HCL SOLN 1MG/ML,False
Cetirizine HCL,Cetirizine HCL TAB 10MG,False
Cevimeline HCL,Cevimeline HCL CAP 30MG,False
Chantix,Chantix TAB 1MG,False
Chloramphenicol Sod Succinate,Chloramphenicol Sod Succinate SOLN 1GM,False
Chlordiazepoxide HCL,Chlordiazepoxide HCL CAP 25MG,False
Chlordiazepoxide HCL,Chlordiazepoxide HCL CAP 5MG,False
Chlordiazepoxide HCL,Chlordiazepoxide HCL CAP 10MG,False
Chlordiazepoxide-Amitriptyline,Chlordiazepoxide-Amitriptyline TAB 10-25MG,False
Chlordiazepoxide-Clidinium,Chlordiazepoxide-Clidinium CAP 5-2.5MG,False
Chlorhexidine Gluconate,Chlorhexidine Gluconate SOLN 0.12%,False
Chlorothiazide,Chlorothiazide TAB 250MG,False
Chlorothiazide Sodium,Chlorothiazide Sodium SOLN 500MG,False
Chlorpromazine HCL,Chlorpromazine HCL TAB 100MG,False
Chlorpromazine HCL,Chlorpromazine HCL TAB 25MG,False
Chlorpromazine HCL,Chlorpromazine HCL TAB 10MG,False
Chlorpromazine HCL,Chlorpromazine HCL TAB 50MG,False
Chlorpromazine HCL,Chlorpromazine HCL TAB 200MG,False
Chlorpromazine HCL,Chlorpromazine HCL CONC 100MG/ML,False
Chlorpromazine HCL,Chlorpromazine HCL SOLN 25MG/ML,False
Chlorpropamide,Chlorpropamide TAB 100MG,False
Chlorthalidone,Chlorthalidone TAB 25MG,False
Chlorthalidone,Chlorthalidone TAB 50MG,False
Chlorzoxazone,Chlorzoxazone TAB 250MG,False
Chlorzoxazone,Chlorzoxazone TAB 750MG,False
Chlorzoxazone,Chlorzoxazone TAB 500MG,False
Chlorzoxazone,Chlorzoxazone TAB 375MG,False
Cholbam,Cholbam CAP 50MG,False
Cholbam,Cholbam CAP 250MG,False
Cholestyramine,Cholestyramine 4GM/DOSE Powder,False
Cholestyramine,Cholestyramine PACK 4GM,False
Cholestyramine Light,Cholestyramine Light POWD 4GM/DOSE,False
Cholestyramine Light,Cholestyramine Light PACK 4GM,False
Cialis,Cialis TAB 20MG,False
Cialis,Cialis TAB 10MG,False
Cialis,Cialis TAB 5MG,False
Cialis,Cialis TAB 2.5MG,False
Ciclopirox,Ciclopirox GEL 0.77%,False
Ciclopirox,Ciclopirox SOLN 8%,False
Ciclopirox,Ciclopirox SHAMPOO 1%,False
Ciclopirox Olamine,Ciclopirox Olamine CREAM 0.77%,False
Ciclopirox Olamine,Ciclopirox Olamine INJ 0.77%,False
Cilostazol,Cilostazol TAB 50MG,False
Cilostazol,Cilostazol TAB 100MG,False
Ciloxan,Ciloxan OINT 0.3%,False
Cimetidine,Cimetidine TAB 800MG,False
Cimetidine,Cimetidine TAB 300MG,False
Cimetidine,Cimetidine TAB 400MG,False
Cimetidine,Cimetidine TAB 200MG,False
Cimetidine HCL,Cimetidine HCL SOLN 300MG/5ML,False
Cimzia (2 Syringe),Cimzia (2 Syringe) SYR KIT 200MG/ML,False
Cinacalcet HCL,Cinacalcet HCL TAB 30MG,False
Cinacalcet HCL,Cinacalcet HCL TAB 60MG,False
Cinacalcet HCL,Cinacalcet HCL TAB 90MG,False
Cinqair,Cinqair SOLN 100MG/10ML,False
Cipro,Cipro TAB 500MG,False
Cipro,Cipro SUSP 250 MG/5ML(5%),False
Cipro,Cipro TAB 250MG,False
Cipro,Cipro SUSP 500 MG/5ML(10%),False
Ciprodex,Ciprodex INJ 0.3-0.1%,False
Ciprofloxacin,Ciprofloxacin SUSP 500 MG/5ML(10%),False
Ciprofloxacin,Ciprofloxacin SUSP 250 MG/5ML(5%),False
Ciprofloxacin,Ciprofloxacin SOLN 400MG/40ML,False
Ciprofloxacin HCL,Ciprofloxacin HCL TAB 500MG,False
Ciprofloxacin HCL,Ciprofloxacin HCL TAB 250MG,False
Ciprofloxacin HCL,Ciprofloxacin HCL SOLN 0.3%,False
Ciprofloxacin HCL,Ciprofloxacin HCL TAB 750MG,False
Ciprofloxacin In D5W,Ciprofloxacin In D5W SOLN 200MG/100ML,False
Ciprofloxacin-Ciproflox HCL,Ciprofloxacin-Ciproflox HCL ER TAB 500MG,False
Ciprofloxacin-Dexamethasone,Ciprofloxacin-Dexamethasone INJ 0.3-0.1%,False
Ciprofloxacin-Fluocinolone PF,Ciprofloxacin-Fluocinolone PF SOLN 0.3-0.025%,False
Cisplatin,Cisplatin SOLN 100MG/100ML,False
Citalopram Hydrobromide,Citalopram Hydrobromide TAB 20MG,False
Citalopram Hydrobromide,Citalopram Hydrobromide TAB 40MG,False
Citalopram Hydrobromide,Citalopram Hydrobromide TAB 10MG,False
Citalopram Hydrobromide,Citalopram Hydrobromide CAP 30MG,False
Citalopram Hydrobromide,Citalopram Hydrobromide SOLN 10MG/5ML,False
Claravis,Claravis CAP 40MG,False
Claravis,Claravis CAP 20MG,False
Clarinex,Clarinex TAB 5MG,False
Clarinex-D 12 Hour,Clarinex-D 12 Hour TAB 2.5-120MG,False
Clarithromycin,Clarithromycin TAB 500MG,False
Clarithromycin,Clarithromycin ER TAB 500MG,False
Clarithromycin,Clarithromycin TAB 250MG,False
Clemastine Fumarate,Clemastine Fumarate TAB 2.68MG,False
Clenpiq,Clenpiq SOLN 10-3.5-12 MG-GM-GM/175ML,False
Clenpiq,Clenpiq SOLN 10-3.5-12 MG-GM-GM/160ML,False
Cleocin,Cleocin CAP 150MG,False
Climara Pro,Climara Pro PTCH 0.045-0.015MG/DAY,False
Clindacin,Clindacin AERO 1%,False
Clindacin-P,Clindacin-P SWAB 1%,False
Clindagel,Clindagel GEL 1%,False
Clindamycin HCL,Clindamycin HCL CAP 300MG,False
Clindamycin HCL,Clindamycin HCL CAP 150MG,False
Clindamycin HCL,Clindamycin HCL CAP 75MG,False
Clindamycin Palmitate HCL,Clindamycin Palmitate HCL SOLN 75MG/5ML,False
Clindamycin Phos-Benzoyl Perox,Clindamycin Phos-Benzoyl Perox GEL 1.2-5%,False
Clindamycin Phos-Benzoyl Perox,Clindamycin Phos-Benzoyl Perox GEL 1.2-2.5%,False
Clindamycin Phos-Benzoyl Perox,Clindamycin Phos-Benzoyl Perox GEL 1-5%,False
Clindamycin Phosphate,Clindamycin Phosphate GEL 1%,False
Clindamycin Phosphate,Clindamycin Phosphate CREAM 2%,False
Clindamycin Phosphate,Clindamycin Phosphate LOTN 1%,False
Clindamycin Phosphate,Clindamycin Phosphate SOLN 300MG/2ML,False
Clindamycin Phosphate,Clindamycin Phosphate SOLN 1%,False
Clindamycin Phosphate,Clindamycin Phosphate SOLN 9000MG/60ML,False
Clindamycin Phosphate,Clindamycin Phosphate AERO 1%,False
Clindamycin Phosphate,Clindamycin Phosphate SWAB 1%,False
Clindamycin Phosphate In D5W,Clindamycin Phosphate In D5W SOLN 600MG/50ML,False
Clindamycin-Tretinoin,Clindamycin-Tretinoin GEL 1.2-0.025%,False
Clobazam,Clobazam TAB 20MG,False
Clobazam,Clobazam TAB 10MG,False
Clobazam,Clobazam INJ 2.5MG/ML,False
Clobetasol Prop Emollient Base,Clobetasol Prop Emollient Base CREAM 0.05%,False
Clobetasol Propionate,Clobetasol Propionate CREAM 0.05%,False
Clobetasol Propionate,Clobetasol Propionate SOLN 0.05%,False
Clobetasol Propionate,Clobetasol Propionate OINT 0.05%,False
Clobetasol Propionate,Clobetasol Propionate LIQD 0.05%,False
Clobetasol Propionate,Clobetasol Propionate LOTN 0.05%,False
Clobetasol Propionate,Clobetasol Propionate AERO 0.05%,False
Clobetasol Propionate,Clobetasol Propionate GEL 0.05%,False
Clobetasol Propionate,Clobetasol Propionate SHAMPOO 0.05%,False
Clobetasol Propionate Emulsion,Clobetasol Propionate Emulsion AERO 0.05%,False
Clobex Spray,Clobex Spray LIQD 0.05%,False
Clomid,Clomid TAB 50MG,False
Clomipramine HCL,Clomipramine HCL CAP 50MG,False
Clomipramine HCL,Clomipramine HCL CAP 75MG,False
Clomipramine HCL,Clomipramine HCL CAP 25MG,False
Clonazepam,Clonazepam TAB 0.5MG,False
Clonazepam,Clonazepam TAB 1MG,False
Clonazepam,Clonazepam TAB 0.5MG ODT,False
Clonazepam,Clonazepam TAB 2MG,False
Clonazepam,Clonazepam TAB 2MG ODT,False
Clonazepam,Clonazepam TAB 0.25MG ODT,False
Clonazepam,Clonazepam TAB 1MG ODT,False
Clonazepam,Clonazepam TAB 0.125MG ODT,False
Clonidine,Clonidine PTCH 0.1MG/24HR,False
Clonidine,Clonidine PTCH 0.2MG/24HR,False
Clonidine,Clonidine PTCH 0.3MG/24HR,False
Clonidine HCL,Clonidine HCL TAB 0.3MG,False
Clonidine HCL,Clonidine HCL TAB 0.1MG,False
Clonidine HCL,Clonidine HCL TAB 0.2MG,False
Clonidine HCL,Clonidine HCL ER TAB 0.1MG,False
Clonidine HCL,Clonidine HCL ER TAB 0.17MG,False
Clopidogrel Bisulfate,Clopidogrel Bisulfate TAB 75MG,False
Clopidogrel Bisulfate,Clopidogrel Bisulfate TAB 300MG,False
Clorazepate Dipotassium,Clorazepate Dipotassium TAB 15MG,False
Clorazepate Dipotassium,Clorazepate Dipotassium TAB 3.75MG,False
Clorazepate Dipotassium,Clorazepate Dipotassium TAB 7.5MG,False
Clotrimazole,Clotrimazole CREAM 1%,False
Clotrimazole,Clotrimazole TROC 10MG,False
Clotrimazole,Clotrimazole SOLN 1%,False
Clotrimazole,Clotrimazole LOZ 10MG,False
Clotrimazole-Betamethasone,Clotrimazole-Betamethasone CREAM 1-0.05%,False
Clotrimazole-Betamethasone,Clotrimazole-Betamethasone LOTN 1-0.05%,False
Clozapine,Clozapine TAB 100MG,False
Clozapine,Clozapine TAB 25MG,False
Clozapine,Clozapine TAB 50MG,False
Clozapine,Clozapine TAB 200MG,False
Clozapine,Clozapine TAB 12.5MG ODT,False
Clozapine,Clozapine TAB 150MG ODT,False
Clozapine,Clozapine TAB 100MG ODT,False
Clozapine,Clozapine TAB 25MG ODT,False
Cobenfy,Cobenfy CAP 100-20MG,False
Cobenfy,Cobenfy CAP 125-30MG,False
Codeine Sulfate,Codeine Sulfate TAB 60MG,False
Codeine Sulfate,Codeine Sulfate TAB 30MG,False
Codeine Sulfate,Codeine Sulfate TAB 15MG,False
Cogentin,Cogentin SOLN 1MG/ML,False
Colazal,Colazal CAP 750MG,False
Colchicine,Colchicine CAP 0.6MG,False
Colchicine,Colchicine TAB 0.6MG,False
Colchicine-Probenecid,Colchicine-Probenecid TAB 0.5-500MG,False
Colcrys,Colcrys TAB 0.6MG,False
Colesevelam HCL,Colesevelam HCL TAB 625MG,False
Colesevelam HCL,Colesevelam HCL PACK 3.75GM,False
Colestid,Colestid TAB 1GM,False
Colestid,Colestid PACK 5GM,False
Colestipol HCL,Colestipol HCL TAB 1GM,False
Colestipol HCL,Colestipol HCL PACK 5GM,False
Colistimethate Sodium (Cba),Colistimethate Sodium (Cba) SOLN 150MG,False
Colocort,Colocort ENEM 100MG,False
Coly-Mycin S,Coly-Mycin S INJ 3.3-3-10-0.5MG/ML,False
Combigan,Combigan SOLN 0.2-0.5%,False
Combipatch,Combipatch PTCH 0.05-0.14MG/DAY,False
Combipatch,Combipatch PTCH 0.05-0.25MG/DAY,False
Combivent Respimat,Combivent Respimat AERO 20-100MCG,False
Compro,Compro SUSP 25MG,False
Comtan,Comtan TAB 200MG,False
Concerta,Concerta TAB 54MG,False
Concerta,Concerta TAB 36MG,False
Concerta,Concerta TAB 18MG,False
Constulose,Constulose SOLN 10GM/15ML,False
Contrave,Contrave TAB 8-90MG,False
Cordran,Cordran TAPE 4MCG/SQCM,False
Coreg,Coreg TAB 25MG,False
Coreg,Coreg TAB 6.25MG,False
Coreg,Coreg TAB 3.125MG,False
Coreg,Coreg TAB 12.5MG,False
Coreg CR,Coreg CR CAP 10MG,False
Coreg CR,Coreg CR CAP 80MG,False
Corgard,Corgard TAB 80MG,False
Corlanor,Corlanor TAB 5MG,False
Corlanor,Corlanor TAB 7.5MG,False
Cortef,Cortef TAB 5MG,False
Cortef,Cortef TAB 10MG,False
Cortisone Acetate,Cortisone Acetate TAB 25MG,False
Cortisporin,Cortisporin CREAM 3.5-10000-0.5,False
Cortrophin,Cortrophin GEL 80UNIT/ML,False
Cortrophin Gel,Cortrophin Gel INJ 40UNIT/0.5ML,False
Cortrophin Gel,Cortrophin Gel INJ 80UNIT/ML,False
Cosentyx (300 Mg Dose),Cosentyx (300 Mg Dose) INJ 150MG/ML,False
Cosentyx Sensoready (300 Mg),Cosentyx Sensoready (300 Mg) SOLN AUTO-INJ 150MG/ML,False
Cosentyx Sensoready Pen,Cosentyx Sensoready Pen SOLN AUTO-INJ 150MG/ML,False
Cosentyx Unoready,Cosentyx Unoready SOLN AUTO-INJ 300MG/2ML,False
Cosopt,Cosopt SOLN 22.3-6.8MG/ML,False
Cosopt PF,Cosopt PF SOLN 2-0.5%,False
Coumadin,Coumadin TAB 5MG,False
Coumadin,Coumadin TAB 2.5MG,False
Coumadin,Coumadin TAB 4MG,False
Coumadin,Coumadin TAB 10MG,False
Coumadin,Coumadin TAB 7.5MG,False
Coumadin,Coumadin TAB 6MG,False
Cozaar,Cozaar TAB 100MG,False
Cozaar,Cozaar TAB 25MG,False
Cozaar,Cozaar TAB 50MG,False
Creon,Creon CAP 36000UNIT,False
Creon,Creon CAP 3000-9500UNIT,False
Creon,Creon CAP 12000UNIT,False
Creon,Creon CAP 24000-76000UNIT,False
Creon,Creon CAP 6000UNIT,False
Cresemba,Cresemba CAP 186MG,False
Crestor,Crestor TAB 20MG,False
Crestor,Crestor TAB 10MG,False
Crestor,Crestor TAB 40MG,False
Crestor,Crestor TAB 5MG,False
Crexont,Crexont CAP 35-140MG,False
Crexont,Crexont CAP 70-280MG,False
Crinone,Crinone GEL 8%,False
Cromolyn Sodium,Cromolyn Sodium CONC 100MG/5ML,False
Cromolyn Sodium,Cromolyn Sodium SOLN 4%,False
Cromolyn Sodium,Cromolyn Sodium NEBU 20MG/2ML,False
Crotan,Crotan LOTN 10%,False
Cryselle-28,Cryselle-28 TAB 0.3-30MG-MCG,False
Cyanocobalamin,Cyanocobalamin SOLN 500MCG/0.1ML,False
Cyclessa,Cyclessa TAB 0.1/0.125/0.15-0.025 MG,False
Cyclobenzaprine HCL,Cyclobenzaprine HCL TAB 10MG,False
Cyclobenzaprine HCL,Cyclobenzaprine HCL TAB 5MG,False
Cyclobenzaprine HCL,Cyclobenzaprine HCL ER CAP 15MG,False
Cyclobenzaprine HCL,Cyclobenzaprine HCL ER CAP 30MG,False
Cyclobenzaprine HCL,Cyclobenzaprine HCL TAB 7.5MG,False
Cyclopentolate HCL,Cyclopentolate HCL SOLN 1%,False
Cyclophosphamide,Cyclophosphamide CAP 25MG,False
Cyclophosphamide,Cyclophosphamide TAB 25MG,False
Cyclophosphamide,Cyclophosphamide CAP 50MG,False
Cycloserine,Cycloserine CAP 250MG,False
Cycloset,Cycloset TAB 0.8MG,False
Cyclosporine Modified,Cyclosporine Modified CAP 100MG,False
Cyclosporine Modified,Cyclosporine Modified SOLN 100MG/ML,False
Cyclosporine Modified,Cyclosporine Modified CAP 25MG,False
Cyclosporine Modified,Cyclosporine Modified CAP 50MG,False
Cyltezo,Cyltezo SYR KIT 20MG/0.4ML,False
Cyltezo,Cyltezo SYR KIT 40MG/0.8ML,False
Cyltezo,Cyltezo AUTO-INJ KIT 40MG/0.8ML,False
Cyltezo (2 Pen),Cyltezo (2 Pen) AUTO-INJ KIT 40MG/0.4ML,False
Cymbalta,Cymbalta CAP 60MG,False
Cymbalta,Cymbalta CAP 30MG,False
Cymbalta,Cymbalta CAP 20MG,False
Cyproheptadine HCL,Cyproheptadine HCL TAB 4MG,False
Cyproheptadine HCL,Cyproheptadine HCL SYRP 2MG/5ML,False
Cytomel,Cytomel TAB 5MCG,False
Cytomel,Cytomel TAB 50MCG,False
Dabigatran Etexilate Mesylate,Dabigatran Etexilate Mesylate CAP 150MG,False
Dabigatran Etexilate Mesylate,Dabigatran Etexilate Mesylate CAP 110MG,False
Dabigatran Etexilate Mesylate,Dabigatran Etexilate Mesylate CAP 75MG,False
Dacarbazine,Dacarbazine SOLN 200MG,False
Dacogen,Dacogen SOLN 50MG,False
Dalfampridine,Dalfampridine ER TAB 10MG,False
Daliresp,Daliresp TAB 500MCG,False
Dantrolene Sodium,Dantrolene Sodium CAP 100MG,False
Dantrolene Sodium,Dantrolene Sodium CAP 50MG,False
Dantrolene Sodium,Dantrolene Sodium CAP 25MG,False
Dapagliflozin Pro-Metformin ER,Dapagliflozin Pro-Metformin ER TAB 10-1000MG,False
Dapagliflozin Pro-Metformin ER,Dapagliflozin Pro-Metformin ER TAB 5-1000MG,False
Dapagliflozin Propanediol,Dapagliflozin Propanediol TAB 10MG,False
Dapagliflozin Propanediol,Dapagliflozin Propanediol TAB 5MG,False
Dapsone,Dapsone TAB 25MG,False
Dapsone,Dapsone TAB 100MG,False
Daptomycin,Daptomycin SOLN 500MG,False
Darifenacin Hydrobromide,Darifenacin Hydrobromide ER TAB 15MG,False
Darifenacin Hydrobromide,Darifenacin Hydrobromide ER TAB 7.5MG,False
Darunavir,Darunavir TAB 800MG,False
Darzalex,Darzalex SOLN 100MG/5ML,False
Dasetta 1/35,Dasetta 1/35 TAB 1-35MG-MCG,False
Daypro,Daypro TAB 600MG,False
Dayvigo,Dayvigo TAB 5MG,False
Dayvigo,Dayvigo TAB 10MG,False
Deblitane,Deblitane TAB 0.35MG,False
Decitabine,Decitabine SOLN 50MG,False
Deferasirox,Deferasirox TAB 250MG,False
Deferasirox,Deferasirox TAB 90MG,False
Deferasirox,Deferasirox TAB 180MG,False
Deferiprone,Deferiprone TAB 500MG,False
Delestrogen,Delestrogen OIL 10MG/ML,False
Delstrigo,Delstrigo TAB 100-300-300MG,False
Delzicol,Delzicol CAP 400MG,False
Demadex,Demadex TAB 20MG,False
Demadex,Demadex TAB 10MG,False
Demeclocycline HCL,Demeclocycline HCL TAB 150MG,False
Demeclocycline HCL,Demeclocycline HCL TAB 300MG,False
Demerol,Demerol TAB 100MG,False
Denavir,Denavir CREAM 1%,False
Denta 5000 Plus,Denta 5000 Plus CREAM 1.1%,False
Dentagel,Dentagel GEL 1.1%,False
Depacon,Depacon SOLN 100MG/ML,False
Depakote,Depakote TAB 500MG,False
Depakote,Depakote ER TAB 500MG,False
Depakote,Depakote ER TAB 250MG,False
Depakote,Depakote TAB 125MG,False
Depakote,Depakote TAB 250MG,False
Depakote Sprinkles,Depakote Sprinkles CAP 125MG,False
Depo-Estradiol,Depo-Estradiol OIL 5MG/ML,False
Depo-Provera,Depo-Provera INJ 400MG/ML,False
Depo-Testosterone,Depo-Testosterone SOLN 200MG/ML,False
Depo-Testosterone,Depo-Testosterone SOLN 100MG/ML,False
Derma-Smoothe/Fs Body,Derma-Smoothe/Fs Body OIL 0.01%,False
Dermatop,Dermatop CREAM 0.1%,False
Dermotic,Dermotic OIL  0.01%,False
Desipramine HCL,Desipramine HCL TAB 25MG,False
Desipramine HCL,Desipramine HCL TAB 50MG,False
Desipramine HCL,Desipramine HCL TAB 10MG,False
Desipramine HCL,Desipramine HCL TAB 150MG,False
Desipramine HCL,Desipramine HCL TAB 100MG,False
Desloratadine,Desloratadine TAB 5MG,False
Desloratadine,Desloratadine TAB 5MG ODT,False
Desloratadine,Desloratadine TAB 2.5MG ODT,False
Desmopressin Ace Rhinal Tube,Desmopressin Ace Rhinal Tube SOLN 0.01%,False
Desmopressin Ace Spray Refrig,Desmopressin Ace Spray Refrig SOLN 0.01%,False
Desmopressin Acetate,Desmopressin Acetate TAB 0.1MG,False
Desmopressin Acetate,Desmopressin Acetate TAB 0.2MG,False
Desmopressin Acetate,Desmopressin Acetate Spray SOLN 0.01%,False
Desmopressin Acetate,Desmopressin Acetate SOLN 4MCG/ML,False
Desmopressin Acetate Pf,Desmopressin Acetate Pf SOLN 4MCG/ML,False
Desmopressin Acetate Spray,Desmopressin Acetate Spray SOLN 0.01%,False
Desogestrel-Ethinyl Estradiol,Desogestrel-Ethinyl Estradiol TAB 0.15-30MG-MCG,False
Desonate,Desonate GEL 0.05%,False
Desonide,Desonide CREAM 0.05%,False
Desonide,Desonide OINT 0.05%,False
Desonide,Desonide LOTN 0.05%,False
Desonide,Desonide GEL  0.05%,False
Desowen,Desowen LOTN 0.05%,False
Desoximetasone,Desoximetasone CREAM 0.25%,False
Desoximetasone,Desoximetasone CREAM 0.05%,False
Desoximetasone,Desoximetasone LIQD 0.25%,False
Desoximetasone,Desoximetasone OINT 0.05%,False
Desoximetasone,Desoximetasone OINT 0.25%,False
Desvenlafaxine,Desvenlafaxine ER TAB 100MG,False
Desvenlafaxine,Desvenlafaxine ER TAB 50MG,False
Desvenlafaxine Succinate,Desvenlafaxine Succinate ER TAB 50MG,False
Desvenlafaxine Succinate,Desvenlafaxine Succinate ER TAB 100MG,False
Desvenlafaxine Succinate,Desvenlafaxine Succinate ER TAB 25MG,False
Detrol,Detrol TAB 2MG,False
Detrol LA,Detrol LA CAP 4MG,False
Detrol LA,Detrol LA CAP 2MG,False
Dexamethasone,Dexamethasone TAB 4MG,False
Dexamethasone,Dexamethasone TAB 0.5MG,False
Dexamethasone,Dexamethasone TAB 1MG,False
Dexamethasone,Dexamethasone CONC 1MG/ML,False
Dexamethasone,Dexamethasone ELIX 0.5MG/5ML,False
Dexamethasone,Dexamethasone TAB 6MG,False
Dexamethasone,Dexamethasone SOLN 0.5MG/5ML,False
Dexamethasone,Dexamethasone TAB 0.75MG,False
Dexamethasone,Dexamethasone TAB 2MG,False
Dexamethasone,Dexamethasone TAB 1.5MG,False
Dexamethasone Sod Phosphate Pf,Dexamethasone Sod Phosphate Pf SOLN 10MG/ML,False
Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosphate SOLN 0.1%,False
Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosphate SOLN 10MG/ML,False
Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosphate SOLN 120MG/30ML,False
Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosphate SOLN 100MG/10ML,False
Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosphate INJ 4MG/ML,False
Dexchlorpheniramine Maleate,Dexchlorpheniramine Maleate SOLN 2MG/5ML,False
Dexedrine,Dexedrine TAB 10MG,False
Dexedrine,Dexedrine CAP 10MG,False
Dexilant,Dexilant CAP 60MG,False
Dexilant,Dexilant CAP 30MG,False
Dexlansoprazole,Dexlansoprazole CAP 60MG,False
Dexlansoprazole,Dexlansoprazole CAP 30MG,False
Dexmethylphenidate HCL,Dexmethylphenidate HCL ER CAP 5MG,False
Dexmethylphenidate HCL,Dexmethylphenidate HCL ER CAP 40MG,False
Dexmethylphenidate HCL,Dexmethylphenidate HCL ER CAP 25MG,False
Dexmethylphenidate HCL,Dexmethylphenidate HCL TAB 10MG,False
Dexmethylphenidate HCL,Dexmethylphenidate HCL ER CAP 10MG,False
Dexmethylphenidate HCL,Dexmethylphenidate HCL ER CAP 30MG,False
Dexmethylphenidate HCL,Dexmethylphenidate HCL TAB 2.5MG,False
Dexmethylphenidate HCL,Dexmethylphenidate HCL TAB 5MG,False
Dexmethylphenidate HCL,Dexmethylphenidate HCL ER CAP 20MG,False
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate TAB 30MG,False
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate ER CAP 10MG,False
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate TAB 10MG,False
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate TAB 15MG,False
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate TAB 20MG,False
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate ER CAP 15MG,False
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate TAB 5MG,False
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate SOLN 5MG/5ML,False
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate ER CAP 5MG,False
Dextrose,Dextrose SOLN 5%,False
Diacomit,Diacomit PACK 500MG,False
Diastat Acudial,Diastat Acudial GEL 20MG,False
Diazepam,Diazepam TAB 2MG,False
Diazepam,Diazepam TAB 5MG,False
Diazepam,Diazepam GEL 10MG,False
Diazepam,Diazepam TAB 10MG,False
Diazepam,Diazepam GEL 2.5MG,False
Diazepam,Diazepam CONC 5MG/ML,False
Diazepam,Diazepam GEL  20MG,False
Diazepam,Diazepam SOLN 5MG/5ML,False
Diazepam,Diazepam SOLN 5MG/ML,False
Diazoxide,Diazoxide INJ 50MG/ML,False
Diclofenac Epolamine,Diclofenac Epolamine EX PTCH 1.3%,False
Diclofenac Potassium,Diclofenac Potassium TAB 50MG,False
Diclofenac Potassium,Diclofenac Potassium TAB 25MG,False
Diclofenac Potassium,Diclofenac Potassium CAP 25MG,False
Diclofenac Potassium(Migraine),Diclofenac Potassium(Migraine) PACK 50MG,False
Diclofenac Sodium,Diclofenac Sodium EX GEL 1%,False
Diclofenac Sodium,Diclofenac Sodium SOLN 0.1%,False
Diclofenac Sodium,Diclofenac Sodium ER TAB 25MG,False
Diclofenac Sodium,Diclofenac Sodium EX GEL 3%,False
Diclofenac Sodium,Diclofenac Sodium ER TAB 75MG,False
Diclofenac Sodium,Diclofenac Sodium ER TAB 100MG,False
Diclofenac Sodium,Diclofenac Sodium ER TAB 50MG,False
Diclofenac Sodium,Diclofenac Sodium TD GEL 1%,False
Diclofenac Sodium,Diclofenac Sodium SOLN 1.5%,False
Diclofenac Sodium,Diclofenac Sodium SOLN 2%,False
Diclofenac Sodium,Diclofenac Sodium TD GEL 3%,False
