drug_name,dosage_name,is_specialty
Lorbrena,Lorbrena TAB 100MG,True
Lynparza,Lynparza TAB 150MG,True
Lynparza,Lynparza TAB 100MG,True
Mavyret,Mavyret TAB 100-40MG,True
Mayzent,Mayzent TAB 2MG,True
Mounjaro,Mounjaro INJ 2.5MG/0.5ML,True
Mounjaro,Mounjaro INJ 10MG/0.5ML,True
Mounjaro,Mounjaro SOLN AUTO-INJ 15MG/0.5ML,True
Mounjaro,Mounjaro INJ 7.5MG/0.5ML,True
Mounjaro,Mounjaro INJ 5MG/0.5ML,True
Mounjaro,Mounjaro INJ 12.5MG/0.5ML,True
Novolog Flexpen,Novolog Flexpen INJ 100UNIT/ML,True
Nucala,Nucala SOLN AUTO-INJ 100MG/ML,True
Nucala,Nucala INJ 100MG/ML,True
Nucala,Nucala SOLN 100MG,True
Nucala,Nucala INJ 40MG/0.4ML,True
Ocrevus,Ocrevus SOLN 300MG/10ML,True
Ofev,Ofev CAP 100MG,True
Ofev,Ofev CAP 150MG,True
Olumiant,Olumiant TAB 2MG,True
Olumiant,Olumiant TAB 1MG,True
Olumiant,Olumiant TAB 4MG,True
Opsumit,Opsumit TAB 10MG,True
Orencia,Orencia INJ 125MG/ML,True
Orencia,Orencia INJ 50MG/0.4ML,True
Orencia,Orencia SOLN 250MG,True
Orencia,Orencia INJ 87.5MG/0.7ML,True
Ozempic,Ozempic 2MG/3ML INJ (0.25 Or 0.5 Mg/Dose),True
Ozempic,Ozempic 4MG/3ML INJ (1 Mg/Dose),True
Ozempic,Ozempic 8MG/3ML INJ (2 Mg/Dose),True
Ozempic,Ozempic (1 Mg/Dose) INJ 2MG/1.5ML,True
Ozempic,Ozempic (0.25 Or 0.5 Mg/Dose) INJ 2MG/1.5ML,True
Pirfenidone,Pirfenidone TAB 801MG,True
Pirfenidone,Pirfenidone TAB 267MG,True
Pirfenidone,Pirfenidone CAP 267MG,True
Pomalyst,Pomalyst CAP 1MG,True
Pomalyst,Pomalyst CAP 2MG,True
Pradaxa,Pradaxa CAP 150MG,True
Pradaxa,Pradaxa PACK 40MG,True
Pradaxa,Pradaxa PACK 150MG,True
Pradaxa,Pradaxa PACK 110MG,True
Pradaxa,Pradaxa CAP 75MG,True
Pradaxa,Pradaxa CAP 110MG,True
Praluent,Praluent INJ 75MG/ML,True
Praluent,Praluent SOLN AUTO-INJ 75MG/ML,True
Praluent,Praluent SOLN AUTO-INJ 150MG/ML,True
Praluent,Praluent INJ 150MG/ML,True
Prezcobix,Prezcobix TAB 800-150MG,True
Prolia,Prolia INJ 60MG/ML,True
Remicade,Remicade SOLN 100MG,True
Repatha,Repatha INJ 140MG/ML,True
Revlimid,Revlimid CAP 5MG,True
Revlimid,Revlimid CAP 2.5MG,True
Revlimid,Revlimid CAP 10MG,True
Revlimid,Revlimid CAP 20MG,True
Revlimid,Revlimid CAP 25MG,True
Rinvoq,Rinvoq ER TAB 45MG,True
Rinvoq,Rinvoq ER TAB 15MG,True
Rinvoq,Rinvoq ER TAB 30MG,True
Rivaroxaban,Rivaroxaban TAB 2.5MG,True
Rivaroxaban,Rivaroxaban SUSP 1MG/ML,True
Rybelsus,Rybelsus TAB 14MG,True
Rybelsus,Rybelsus TAB 7MG,True
Rybelsus,Rybelsus TAB 3MG,True
Saxenda,Saxenda INJ 18MG/3ML,True
Simponi,Simponi INJ 50MG/0.5ML,True
Simponi,Simponi SOLN AUTO-INJ 50MG/0.5ML,True
Simponi,Simponi INJ 100MG/ML,True
Sirolimus,Sirolimus TAB 0.5MG,True
Sirolimus,Sirolimus TAB 1MG,True
Sirolimus,Sirolimus TAB 2MG,True
Skyrizi,Skyrizi INJ 150MG/ML,True
Skyrizi,Skyrizi INJ 180MG/1.2ML,True
Skyrizi,Skyrizi INJ 360MG/2.4ML,True
Skyrizi,Skyrizi SOLN AUTO-INJ 150MG/ML,True
Skyrizi,Skyrizi (150 Mg Dose) SYR KIT 75MG/0.83ML,True
Sprycel,Sprycel TAB 100MG,True
Sprycel,Sprycel TAB 20MG,True
Sprycel,Sprycel TAB 50MG,True
Sprycel,Sprycel TAB 80MG,True
Stelara,Stelara INJ 45MG/0.5ML,True
Stelara,Stelara SOLN 45MG/0.5ML,True
Stelara,Stelara INJ 90MG/ML,True
Stribild,Stribild TAB 150-150-200-300MG,True
Sunlenca,Sunlenca SOLN 463.5MG/1.5ML,True
Tacrolimus,Tacrolimus OINT 0.1%,True
Tacrolimus,Tacrolimus CAP 0.5MG,True
Tacrolimus,Tacrolimus CAP 1MG,True
Tacrolimus,Tacrolimus OINT 0.03%,True
